# Created by create_gmm.py, IMP.isd version 2.13.0
# data_fn: pgdp_separate.mrc
# ncenters: 70
# covar_type: 'full'
# apix: 1.0
# num_samples: 1000000
# num_iter: 100000
# threshold: 0.006
# force_radii: -1.0
# force_weight: -1.0
# force_weight_frac: False
# use_dirichlet: False
# multiply_by_mass: False
# chain: None
#|num|weight|mean|covariance matrix|
|0|0.012051014021411191|186.1013149922032 245.12432781019345 116.43605584665471|62.11646588367674 -7.685868592736938 14.981098153931887 -7.685868592736934 61.48391446069506 -3.7881971719070613 14.981098153931887 -3.788197171907063 41.17494451977092|
|1|0.016820165845051818|93.9761746998 285.2363596350548 174.1611074404835|61.35542949460878 -0.05653745922902109 7.0653328541210785 -0.056537459229021536 82.87361124870881 -6.906567469774654 7.06533285412108 -6.906567469774652 30.91514106723943|
|2|0.008658363428398446|138.61231205290906 271.2440533890423 72.84837275688808|98.3231118752887 46.91668882835147 44.47572171516687 46.916688828351475 70.90024437360786 23.31446451585328 44.47572171516687 23.31446451585328 46.43675683491415|
|3|0.015232954559062303|177.05953881209655 319.3491259157562 175.36000160048798|27.33588411516987 2.682870446628119 5.165630622571413 2.6828704466281192 52.631889506030014 5.199449348235298 5.165630622571414 5.199449348235294 60.16350877917068|
|4|0.011286436937479006|106.84728719250442 291.0250075472912 118.91945467681302|80.25944460570209 8.020290160642851 3.4348745685142084 8.020290160642848 50.84751073050432 -2.2988949905003664 3.434874568514209 -2.298894990500367 27.049686691401025|
|5|0.011839683166295568|131.73240264645264 287.9018511213584 172.6194689089319|58.8458836019887 -10.459934603202736 -21.935702514689737 -10.45993460320274 68.46290013412124 -2.8224747278624243 -21.93570251468973 -2.8224747278624243 44.77881684289011|
|6|0.020916902288311612|67.32780198389874 316.0279776748492 125.20070177669335|59.193130201920845 -3.25568878363768 1.191169922703704 -3.2556887836376784 43.34128917358376 -0.08456609230843393 1.191169922703704 -0.08456609230843393 50.08926547301106|
|7|0.01945093951668805|207.0217617662183 302.6922772414398 121.3474336361009|58.217343489899335 -10.377986805566149 10.636869887609027 -10.377986805566142 70.23548770353867 1.8648139631367897 10.636869887609027 1.8648139631367897 46.72416034708479|
|8|0.013762073700885561|136.03854689955858 316.175933370849 106.38558807146578|31.66428621308538 3.171808839388753 -6.561762543121938 3.171808839388753 59.417667506180806 -17.942289957961908 -6.561762543121937 -17.94228995796192 86.86339911850138|
|9|0.01257010638069696|114.90737410753158 236.25724339961485 199.54045543906597|57.11466049650592 33.17869329189595 -25.1328395876439 33.17869329189595 74.15513712561702 -7.328164706056032 -25.132839587643897 -7.328164706056025 68.73622486601863|
