model_name	molpdf	DOPE	norm_DOPE	GA341
pg-dsg3-pg-dsg3.B99990001.pdb	6622.15185546875	-157264.703125	-1.2455203624188529	1.0	
pg-dsg3-pg-dsg3.B99990002.pdb	6490.52001953125	-157643.6875	-1.2667547399401888	1.0	
pg-dsg3-pg-dsg3.B99990003.pdb	6650.74951171875	-157531.15625	-1.2604496487462635	1.0	
pg-dsg3-pg-dsg3.B99990004.pdb	6695.3564453125	-157902.359375	-1.2812480452325294	1.0	
pg-dsg3-pg-dsg3.B99990005.pdb	6512.8671875	-157570.0625	-1.262629553921614	1.0	
pg-dsg3-pg-dsg3.B99990006.pdb	6581.61572265625	-157478.5625	-1.257502837171874	1.0	
pg-dsg3-pg-dsg3.B99990007.pdb	6841.86669921875	-157399.890625	-1.2530948763052514	1.0	
pg-dsg3-pg-dsg3.B99990008.pdb	6780.23828125	-157559.03125	-1.2620114763899684	1.0	
pg-dsg3-pg-dsg3.B99990009.pdb	6905.7060546875	-157450.296875	-1.2559191229300228	1.0	
pg-dsg3-pg-dsg3.B99990010.pdb	7009.09130859375	-157565.8125	-1.2623914277337844	1.0	
